Quant,C#,1,2,3,5,10,15,20,8
5,0.0132688,0.0226293,0.0001696,5E-05,9.45E-05,0.0001183,0.0001198,0.0001603,8.19E-05
1000,7.03E-05,0.000242,0.000328,0.0001588,0.0001907,0.0002026,9.54E-05,0.0001167,0.0002179
10000,0.000643,0.0002753,0.0002678,0.0002204,0.0001955,0.0003419,0.0003751,0.0007459,0.0003482
100000,0.0021708,0.0078811,0.0016432,0.0020794,0.002753,0.0015287,0.0023004,0.0022996,0.003029
1000000,0.0423793,0.0646957,0.0346976,0.0125133,0.0189805,0.0090978,0.0122558,0.0088547,0.0146228
10000000,0.3617391,0.4616505,0.2259738,0.0779631,0.0580147,0.0803773,0.0788704,0.0809731,0.1149749
100000000,2.7526393,2.0448986,1.4586151,1.9465172,1.5401792,0.7949438,0.4491573,0.4809526,0.4401535
